id,author,title,publisher,scheme,audience,year
5d691d8e-8926-43a1-8263-13ccca595381,"Abrahamsen, Odd",Åpen mot lyset,Dreyers forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
e5b7eaef-a8d7-4dee-af68-0019fbd2510b,"""Anitra""",Lys og skygge over Leikvin,Ernst G. Mortensens forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
7db976fd-7ad4-4e20-bb94-a821154e6171,"Balstad, Stein",Skogene brenner,Ansgar forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
e81b1273-cc32-4392-80e3-c4cb59414dee,"Berg, Lars",Du har rett til å leve,Tiden Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
4f09cf63-0766-4759-96ae-c055220c96e5,"Bjerkrheim, Trygve",Lysande land,Gry forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
62df0189-688a-40ba-a945-e58601bfb2d5,"Bjørneboe, Jens",Til lykke med dagen,Pax forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
db589321-7b59-4e68-90d3-15ca2aba6816,"Bjørnseth, Finn",Fra de nakne ordene,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
f57e000f-f8f9-47f6-bd4b-5028afc3cf86,"Borgen, Johan",Barndommens rike,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
8be8ba99-55ad-4514-bb4f-0cea47cff5e0,"Borgen, Johan",Nye noveller,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
4412daa0-a470-4c25-b36c-8285d571f989,"Boyson, Emil",Europeisk poesi,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
cb83922b-aba3-4fde-93b6-a1d85cbce82e,"Breivik, Thomas",Den annen bredd,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
3f93fa91-b4e1-41d6-855e-542e97d82df6,"Brekke, Paal",Det skjeve smil i rosa,H. Aschehoug & Co,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
b433f3a6-ca35-4beb-85e5-6af4949e3275,"Bruheim, Jan-Magnus",Menneskehagen,Noregs boklag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
9d97a35a-8bcd-4f8f-8ba0-85a736507c61,"Buflod, Magnus",Enno ein morgon,Noregs boklag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
1b8c6536-9bd4-41d1-82e1-467a05490058,"Carlson, Camilla",Hanna,H. Aschehoug & Co,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
ca37c4ed-adce-4435-8df3-86fec822c81d,"Caspari, Carl",Stormen,Noregs boklag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
d85fd0d9-af95-4571-9406-9ad9b8463fbe,"Christov, Solveig",Skyldneren,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
7856cb70-8924-41eb-b104-cd9e09cc0ab6,"Cobb, Noel v/Trygve Vegge",Delfi og andre dikt,Gyldendal Norsk Forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
8a48ead9-ff7e-4486-98c0-e31c2799eece,Dante v/Henrik Rytter og Sigmund Skard,Den guddomlege komedien,Det Norske Samlaget,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
c809b5cb-f79b-4d1d-aa5c-5b9cddc1757b,"Alighieri, Dante v/Kristen Gundelach",Dante og Beatrice,Dreyers forlag,Innkjøpsordninga for ny norsk skjønnlitteratur,Voksne,1965
